"English","العربية"
"12 Hours","12 ساعة"
"24 Hours","24 ساعة"
"404 page not found","الصفحة غير موجودة"
"(Auto-assigned from department)","(يتم التعيين تلقائياً من القسم)"
"Maximum number of times a single customer can use this coupon","الحد الأقصى لعدد المرات التي يمكن لعميل واحد استخدام هذا الكوبون"
"Maximum number of times this coupon can be used","الحد الأقصى لعدد المرات التي يمكن استخدام هذا الكوبون"
"Partner Logo settings","إعدادات شعار الشريك"
"Provide translations for different languages. The default language translation is required.","قدم ترجمات لمختلف اللغات. ترجمة اللغة الافتراضية مطلوبة."
"Webhook already properly configured.","تم تكوين الـ Webhook بشكل صحيح بالفعل."
"A client has responded to their support ticket","رد عميل على تذكرة الدعم الخاصة به"
"The base currency is the main currency for your account. All subscription payments, invoices, and billing will use this currency.","العملة الأساسية هي العملة الرئيسية لحسابك. جميع دفعات الاشتراك والفواتير والفواتير ستستخدم هذه العملة."
"Accept cash, bank transfers and other offline payment methods","قبول النقد والتحويلات البنكية وطرق الدفع الأخرى غير المتصلة"
"Access Denied","تم رفض الوصول"
"Access Denied","تم رفض الوصول"
"This account cannot be deactivated.","لا يمكن تعطيل هذا الحساب."
"Account Name","اسم الحساب"
"Account Number","رقم الحساب"
"Account Profile","الملف الشخصي للحساب"
"Account Security","أمان الحساب"
"Accounts with Credit","الحسابات ذات الرصيد"
"Action","إجراء"
"Action required: Please authenticate your payment for invoice #:invoice","مطلوب إجراء: يرجى مصادقة الدفع للفاتورة #:invoice"
"Actions","الإجراءات"
"Activate","تفعيل"
"Activate Departments","تفعيل الأقسام"
"This will restore full access to the tenant&#039;s services.","سيؤدي هذا إلى استعادة الوصول الكامل لخدمات المستأجر."
"Activate Theme","تفعيل المظهر"
"Active","نشط"
"Active Departments","الأقسام النشطة"
"Active Percentage","النسبة النشطة"
"Active Plan","الخطة النشطة"
"This plan is available for subscription","هذه الخطة متاحة للاشتراك"
"Active Status:","الحالة النشطة:"
"Total subscriptions","إجمالي الاشتراكات"
"Active Theme","المظهر النشط"
"Active tickets","التذاكر النشطة"
"Add a webhook with the url above and subscribe to these events","Add a webhook with the url above و subscribe to these events"
"Add Another Logo","إضافة شعار آخر"
"Add","إضافة"
"Add custom footer text for all invoices","إضافة نص تذييل مخصص لجميع الفواتير"
"Add custom terms and conditions text for all invoices","Add custom terms و conditions text for all invoices"
"Add New FAQ","إضافة سؤال شائع جديد"
"Add Plan","إضافة خطة"
" Add Reply","إضافة رد"
"Add Role","إضافة دور"
"Add Subscription","إضافة اشتراك"
"Add tax rate","إضافة معدل ضريبة"
"Add Tenant Language","إضافة لغة للمستأجر"
"Add Tenant","إضافة مستأجر"
"Added new features and improvements","Added new features و improvements"
"Additional Details","تفاصيل إضافية"
"Additional Instructions","تعليمات إضافية"
"Address","العنوان"
"123 Main St, City, State, ZIP","123 شارع رئيسي، المدينة، الولاية، الرمز البريدي"
"Address this high-priority ticket immediately","عالج هذه التذكرة ذات الأولوية العالية فوراً"
"Admin","المدير"
"(Admin)","(مدير)"
"Admin Cache Status","حالة ذاكرة المدير المؤقتة"
"Admin Dashboard","لوحة تحكم المدير"
"Admin privileges in your Facebook Business Manager","صلاحيات المدير في إدارة أعمال فيسبوك"
"Admin replied to ticket","المدير رد على التذكرة"
"Admin Support System - Client Response Alert","نظام دعم المدير - تنبيه استجابة العميل"
"Admin Support System - Automated Notification","نظام دعم المدير - إشعار تلقائي"
"Administrator users have unrestricted access to all features and functions.","Administrator users have unrestricted access to all features و functions."
"Admin Viewed:","تم الاطلاع من المدير:"
"Administrator Access","وصول المدير"
"Administrators have full access to all features and settings of the system.","Administrators have full access to all features و settings of the system."
"Administrator Information","معلومات المدير"
"Administrators have full access to all features and settings of the system.","Administrators have full access to all features و settings of the system."
"Advanced Optimization","التحسين المتقدم"
"Configure system-wide optimization settings including cache, session, and queue drivers. Requires proper server configuration.","Configure system-wide optimization settings including cache, session, و queue drivers. Requires proper server configuration."
"After Amount","بعد المبلغ"
"AI Integration","تكامل الذكاء الاصطناعي"
"AI Personal Assistants","المساعدون الشخصيون بالذكاء الاصطناعي"
"AI Prompts","أوامر الذكاء الاصطناعي"
"Alert","تنبيه"
"All","الكل"
"All Invoices","جميع الفواتير"
"All Subscriptions","جميع الاشتراكات"
"All Tickets","جميع التذاكر"
"All time","كل الوقت"
"All Transactions","جميع المعاملات"
"Allow new tenants to register on your platform","السماح للمستأجرين الجدد بالتسجيل في منصتك"
"Allow Tenant Registration","السماح بتسجيل المستأجرين"
"Allow tenants to pay using offline payment methods","السماح للمستأجرين بالدفع باستخدام طرق الدفع غير المتصلة"
"Allow users to pay via bank transfer","السماح للمستخدمين بالدفع عبر التحويل البنكي"
"When enabled, visitors will see the landing page.","عند التفعيل، سيرى الزوار الصفحة المقصودة."
"Allowed formats: JPEG, PNG. Max 5MB.","الصيغ المسموحة: JPEG، PNG. الحد الأقصى 5 ميجابايت."
